IMDb_Title_ID,Original_Title,Release_Year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
tt0119217,Good Will Hunting,,"Drama, Romance",126,USA,R,Gus Van Sant,$ 225933435,837.379,7.8
tt0208092,Snatch,,"Comedy, Crime",104,UK,R,Guy Ritchie,$ 83557872,766.589,7.8
tt0180093,Requiem for a Dream,,Drama,102,USA,R,Darren Aronofsky,$ 7390108,748.291,7.8
tt0066921,A Clockwork Orange,,"Crime, Drama, Sci-Fi",136,UK,,Stanley Kubrick,$ 26903440,740.301,7.8
tt0435761,Toy Story 3,,"Animation, Adventure, Comedy",103,USA,G,Lee Unkrich,$ 1066969703,739.717,7.8
tt0086250,Scarface,,"Crime, Drama",170,USA,R,Brian De Palma,$ 66023585,721.343,7.8
tt0075314,Taxi Driver,,"Crime, Drama",114,USA,R,Martin Scorsese,$ 28441292,703.264,7.7
tt0211915,Le fabuleux destin d'AmÃ©lie Poulain,,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,$ 173924742,690.48,7.7
tt0093058,Full Metal Jacket,,"Drama, War",116,UK,,Stanley Kubrick,$ 46357676,658.175,7.7
tt0090605,Aliens,,"Action, Adventure, Sci-Fi",137,USA,R,James Cameron,$ 131384634,639.5,7.7
tt0062622,2001: A Space Odyssey,,"Adventure, Sci-Fi",149,UK,G,Stanley Kubrick,$ 68989547,587.866,7.6
tt0033467,Citizen Kane,,"Drama, Mystery",119,USA,,Orson Welles,$ 1594107,389.322,7.6
tt8579674,1917,,"Drama, War",119,USA,,Sam Mendes,$ 384857224,362.897,7.6
tt0086879,Amadeus,,"Biography, Drama, History",160,USA,R,Milos Forman,$ 52066791,361.028,7.6
tt0052357,Vertigo,,"Mystery, Romance, Thriller",128,USA,,Alfred Hitchcock,$ 7796389,352.786,7.5
tt0053125,North by Northwest,,"Adventure, Mystery, Thriller",136,USA,,Alfred Hitchcock,$ 73446,291.628,7.5
tt2106476,Jagten,,Drama,115,Denmark,R,Thomas Vinterberg,$ 15843274,269.616,7.5
tt0056172,Lawrence of Arabia,,"Adventure, Biography, Drama",228,UK,PG,David Lean,$ 45710874,261.504,7.5
tt0070735,The Sting,,"Comedy, Crime, Drama",129,USA,PG,George Roy Hill,$ 156000000,236.285,7.5
tt0082096,Das Boot,,"Adventure, Drama, Thriller",149,West Germany,R,Wolfgang Petersen,$ 11487676,226.427,7.5
tt0059578,Per qualche dollaro in piÃ¹,,Western,132,Italy,,Sergio Leone,$ 15000000,226.039,7.4
tt1832382,Jodaeiye Nader az Simin,,Drama,123,Iran,PG-13,Asghar Farhadi,$ 22926076,214.165,7.4
tt0045152,Singin' in the Rain,,"Comedy, Musical, Romance",103,USA,,Stanley Donen,$ 1864182,213.152,7.4
